發生時間,處理別,肇事地點,座標-X,座標-Y
2021/1/4 07:45,2,士林區中山北路4段新生高架橋007號電燈桿,121.5252635,25.07639668
2021/1/4 07:46,2,文山區辛亥路7段70號前,121.5538583,24.98244579
2021/1/4 08:00,2,文山區木新路3段與忠順街1段26巷口,121.5599495,24.9815226
2021/1/4 08:03,2,南港區研究院路2段與研究院路2段61巷口,121.6163618,25.04361552
2021/1/4 08:14,2,北投區稻香路西向東031號燈桿,121.4821397,25.14450366
2021/1/4 08:17,2,信義區吳興街284巷與吳興街284巷30弄口,121.5621542,25.02246882
2021/1/4 08:20,2,北投區中央北路4段577巷,121.466758,25.12719389
2021/1/4 08:24,2,信義區基隆路1段與松壽路口口,121.5620276,25.03597439
2021/1/4 08:30,2,松山區復興北路1號與復興北路口,121.5440429,25.04821416
2021/1/4 08:30,2,中正區延平南路與愛國西路口,121.5079905,25.03690265
2021/1/4 08:30,2,大同區甘州街46號,121.5127417,25.06025188
2021/1/4 08:30,2,中山區中山北路1段83巷30號,121.5240098,25.04995599
2021/1/4 08:30,2,中山區南京東路3段與遼寧街口,121.5420308,25.05201669
2021/1/4 08:37,2,士林區延平北路5段136巷與延平北路5段136巷27弄口,121.5115442,25.0822483
2021/1/4 08:40,2,文山區木新路3段74巷與木新路3段74巷8弄口,121.5633705,24.9828608
2021/1/4 08:45,2,大安區仁愛路3段與信義路3段147巷口,121.5420036,25.0378059
2021/1/4 08:47,2,大安區敦化南路1段與敦化南路1段190巷口,121.5486404,25.0425982
2021/1/4 08:53,2,信義區松隆路與永吉路口口,121.5702354,25.04569516
2021/1/4 09:08,2,士林區德行東路與德行東路229巷口,121.5331946,25.10940713
2021/1/4 09:17,2,萬華區艋舺大道(燈桿:艋B29)(時報大樓西側),121.4953074,25.03230095
2021/1/4 09:28,2,內湖區康寧路3段168號,121.6115735,25.07010733
2021/1/4 09:45,2,大安區敦化南路1段295巷與仁愛路4段112巷口,121.549679,25.03544751
2021/1/4 10:02,2,大安區仁愛路4段與安和路1段口,121.5511978,25.03796241
2021/1/4 10:27,2,內湖區內湖路2段179巷與金龍隧道口,121.5851244,25.084361
2021/1/4 11:00,2,士林區承德路4段220號,121.5217822,25.08832674
2021/1/4 11:02,2,中山區新生北路2段與長春路口,121.5274369,25.05491814
2021/1/4 11:08,2,南港區環東大道205燈桿(東往西),121.6119308,25.06201726
2021/1/4 11:10,2,北投區北投路2段與豐年路1段口,121.4966437,25.13439207
2021/1/4 11:25,2,中正區永福橋與水源路口匝道,121.5281305,25.01170607
2021/1/4 11:28,2,士林區德行東路283巷與士東路266巷12弄口,121.5358582,25.1118128
2021/1/4 11:34,2,大同區承德路3段與庫倫街口,121.5185179,25.07176458
2021/1/4 11:40,2,大安區基隆路3段131號,121.5433627,25.01620251
2021/1/4 12:00,2,內湖區康寧路3段70巷與康寧路3段口,121.611218,25.07038337
