路口名稱,方向,標誌型式,標誌內容,附牌,座標X-TWD97,座標Y-TWD97,經度座標X-WGS84,緯度座標Y-WGS84
北市中山區民權東路二段35號,往北,禁止,18禁止左轉,,303378.92,2772807.63,121.5290816,25.06252728
北市中山區民權東路二段35號,往北,禁止,18禁止左轉,,303630.17,2772812.92,121.531572,25.06256616
北市中山區民權東路二段35號,往北,禁止,18禁止左轉,,303252.67,2772843.87,121.5278317,25.06285893
北市中山區民權東路二段69-1號,往北,禁止,18禁止左轉,,303656.58,2772804.92,121.5318335,25.062493
北市中山區民權東路二段160號,往北,禁止,18禁止左轉,,303982.68,2772792.55,121.5350651,25.06236972
北市中山區民權東路二段160號,往北,禁止,18禁止左轉,,304140.55,2772801.12,121.5366302,25.0624414
北市中山區榮星花園(民權),往北,禁止,18禁止左轉,,304719.1,2772797.9,121.5423643,25.06239153
北市中山區榮星花園(民權),往北,禁止,18禁止左轉,,304719.7,2772782.7,121.5423697,25.06225426
北市中山區榮星花園(民權),往北,禁止,18禁止左轉,,304573.55,2772788.03,121.5409213,25.06230771
北市中山區榮星花園(民權),往北,禁止,18禁止左轉,,304554.27,2772803.84,121.5407309,25.06245106
北市中山區民權東路三段55號,往北,禁止,22禁止迴車,,304918.35,2772747.77,121.5443372,25.06193174
北市中山區民權東路三段55號,往北,禁止,17禁止右轉,,304973.69,2772783.15,121.544887,25.06224912
北市中山區民權東路三段55號,往北,禁止,17禁止右轉,,305151.15,2772780.7,121.5466459,25.06222057
北市中山區民權東路三段55號,往北,禁止,18禁止左轉,,304741.71,2772798.06,121.5425884,25.06239217
北市中山區民權東路三段55號,往北,禁止,18禁止左轉,,304742.3,2772785.01,121.5425938,25.06227433
北市中山區民權東路三段55號,往北,禁止,18禁止左轉,,304901.21,2772838.4,121.5441709,25.06275054
北市中山區民權東路三段55號,往北,禁止,18禁止左轉,,304912.44,2772838.85,121.5442822,25.06275419
北市中山區民權東路三段55號,往北,禁止,18禁止左轉,,304937.99,2772776.48,121.544533,25.0621902
北市中山區民權東路三段55號,往北,禁止,19禁止左右轉,,305144.82,2772758.68,121.5465822,25.06202195
北市中山區民權東路三段55號,往北,禁止,18禁止左轉,,304937.9,2772764.77,121.5445317,25.06208451
北市中山區民權東路三段55號,往北,禁止,06禁止大客車、大貨車及聯結車進入,,304958.26,2772783.76,121.5447342,25.06225519
北市松山區民權東路三段166號,往北,禁止,19禁止左右轉,,305267.4,2772766.69,121.5477975,25.0620898
北市松山區民權東路三段166號,往北,禁止,19禁止左右轉,,305177.47,2772753.54,121.5469056,25.06197439
北市松山區105號敦北公園,往北,禁止,04禁止大貨車及聯結車進入,,305725.94,2772693.35,121.5523393,25.06141086
北市松山區光復北路325號,往北,禁止,17禁止右轉,,306016.33,2772769.57,121.5552205,25.06208821
北市松山區光復北路325號,往北,禁止,18禁止左轉,,305963.92,2772746.61,121.5547002,25.06188291
北市松山區三民路200號,往北,禁止,18禁止左轉,,306996.74,2772883.26,121.5649425,25.06307796
北市松山區三民路200號,往北,禁止,18禁止左轉,,306997.02,2772882.05,121.5649452,25.06306703
北市松山區三民路200號,往北,禁止,06禁止大客車、大貨車及聯結車進入,,306977.23,2772897.21,121.5647497,25.06320461
北市松山區三民路200號,往北,禁止,22禁止迴車,,306819.16,2772853.4,121.5631812,25.06281507
北市松山區三民路200號,往北,禁止,17禁止右轉,,306995.58,2772887.26,121.5649311,25.0631141
北市松山區三民路200號,往北,禁止,22禁止迴車,,307081.68,2772900.87,121.5657851,25.06323377
北市松山區民權東路五段,往北,禁止,04禁止大貨車及聯結車進入,,307312.16,2772932.2,121.5680708,25.06350785
北市松山區民權東路五段,往北,禁止,22禁止迴車,,307310.65,2772936.5,121.568056,25.06354672
北市松山區民權東路五段,往北,禁止,18禁止左轉,,307312.98,2772930.45,121.5680788,25.06349206
北市內湖區民權東路六段9號3樓,往北,禁止,04禁止大貨車及聯結車進入,,308348.91,2773296.08,121.578362,25.06675326
北市內湖區民權東路六段13-3號,往北,禁止,18禁止左轉,,308374.02,2773299.58,121.5786109,25.06678384
北市內湖區民權東路六段13-3號,往北,禁止,17禁止右轉,,308373.33,2773301.59,121.5786042,25.06680206
北市內湖區民權東路六段29號,往北,禁止,17禁止右轉,,309241.48,2773538.71,121.5872193,25.06890897
北市內湖區民權東路六段29號,往北,禁止,17禁止右轉,,309290.54,2773551.31,121.5877061,25.06902073
北市內湖區民權東路六段29號,往北,禁止,17禁止右轉,,309245.34,2773553.4,121.5872582,25.06904138
北市內湖區民權東路六段29號,往北,禁止,22禁止迴車,,309130.12,2773540.52,121.5861155,25.06892962
北市內湖區民權東路六段29號,往北,禁止,05禁止聯結車進入,,308942.38,2773541.79,121.5842548,25.06894845
北市內湖區民權東路六段29號,往北,禁止,18禁止左轉,,309289.95,2773562.07,121.5877007,25.06911791
北市內湖區民權東路六段29號,往北,禁止,04禁止大貨車及聯結車進入,,309306.55,2773540.07,121.5878643,25.06891869
北市內湖區民權東路六段29號,往北,禁止,17禁止右轉,,308984.38,2773543.99,121.5846712,25.06896667
北市內湖區民權東路六段29號,往北,禁止,01禁止任何車輛進入,,309247.43,2773538.07,121.5872783,25.0689029
北市內湖區內湖行政大樓,往北,禁止,17禁止右轉,,309315.51,2773559.29,121.587954,25.06909181
北市內湖區內湖行政大樓,往北,禁止,17禁止右轉,,309429.89,2773548.89,121.5890872,25.06899342
北市內湖區內湖行政大樓,往北,禁止,18禁止左轉,,309315.54,2773553.17,121.587954,25.06903654
北市內湖區內湖行政大樓,往北,禁止,17禁止右轉,,309567.88,2773535.3,121.5904544,25.06886529
北市內湖區內湖行政大樓,往北,禁止,17禁止右轉,,309716.96,2773529.51,121.5919318,25.06880718
北市內湖區內湖行政大樓,往北,禁止,03禁止機踏車進入,,309434.2,2773552.81,121.5891301,25.06902864
北市內湖區內湖行政大樓,往北,禁止,18禁止左轉,,309606.89,2773524.7,121.5908406,25.06876811
北市內湖區內湖行政大樓,往北,禁止,03禁止機踏車進入,,309434.07,2773552.67,121.5891288,25.06902743
北市內湖區內湖行政大樓,往北,禁止,04禁止大貨車及聯結車進入,,309302.2,2773570.6,121.5878226,25.06919446
北市內湖區內湖行政大樓,往北,禁止,04禁止大貨車及聯結車進入,,309445.77,2773537.52,121.5892441,25.06889016
北市內湖區內湖行政大樓,往北,禁止,03_1禁止大客車進入,,309721.03,2773526.43,121.591972,25.06877924
北市內湖區民權東路六段119之1號,往北,禁止,17禁止右轉,,309939.1,2773521.59,121.5941333,25.06872688
北市內湖區民權東路六段119之1號,往北,禁止,17禁止右轉,,309796.83,2773536.44,121.5927238,25.06886658
北市內湖區民權東路六段119之1號,往北,禁止,06禁止大客車、大貨車及聯結車進入,,309968.09,2773514.45,121.5944203,25.06866128
北市內湖區民權東路六段119之1號,往北,禁止,18禁止左轉,,309796.39,2773543.97,121.5927198,25.06893461
北市內湖區民權東路六段119之1號,往北,禁止,18禁止左轉,,309953.11,2773535.11,121.5942728,25.06884836
北市內湖區國防醫學院(網球中心),往北,禁止,22禁止迴車,,310079.74,2773495.28,121.5955261,25.0684838
北市內湖區國防醫學院(網球中心),往北,禁止,17禁止右轉,,310076.12,2773486.89,121.5954899,25.06840818
北市內湖區國防醫學院(網球中心),往北,禁止,06禁止大客車、大貨車及聯結車進入,,310088.67,2773463.5,121.5956133,25.06819651
北市內湖區國防醫學院(網球中心),往北,禁止,18禁止左轉,,310287.17,2773385.46,121.5975773,25.06748404
北市內湖區國防醫學院(網球中心),往北,禁止,18禁止左轉,,310153.11,2773455.44,121.5962517,25.06812119
北市內湖區國防醫學院(網球中心),往北,禁止,18禁止左轉,,310076.46,2773488.1,121.5954933,25.06841912
北市內湖區民權東路六段253號,往北,禁止,22禁止迴車,,310670.11,2773383.94,121.6013729,25.06745499
